大区,省份,城市,VE-I代码,4S销售服务店名称,公司地址,销售热线,排班规避时间,执行日期,进店模式,检核员A姓名,
华南大区,广西,桂林市,SGX008,桂林鑫广达博达汽车销售服务有限公司,桂林临桂新区机场路北侧真龙汽车物流园,0773-3682022,无限制,11月3日,单人,唐一军,
华南大区,广西,柳州市,SGX007,柳州鑫广达汽车销售服务有限公司,柳州市燎原路8号,0772-31156660772-3132666,无限制,11月3日,单人,唐一军,
华南大区,广西,南宁市,SGX006,广西鑫广达汽车销售服务有限公司,南宁市高新经济开发区科园大道55#,0771-32201110771-3220222,无限制,11月2日,双人,庞小凤,
华南大区,湖南,长沙市,CHN018,长沙德顺汽车销售服务有限公司,长沙市星沙经济技术开发区三一路118号,0731-85478488     0731-85478655,无限制,11月10日,AB合成,易玉成,
华南大区,湖南,长沙市,CHN019,湖南万乘汽车贸易有限公司,长沙市高新开发区嘉运路80号,0731-82867488,无限制,11月10日,AB合成,易玉成,
华南大区,湖南,常德市,CHN020,常德时代阳光汽车销售服务有限公司,常德武陵区南坪路（火车站往东800米）,0736-7277888,无限制,11月8日,单人,易玉成,
华南大区,湖南,郴州市,CHN023,郴州兴华诚汽车贸易有限公司,郴州市北湖区工业园路口,0735-2116666,无限制,11月7日,单人,易玉成,
华南大区,湖南,岳阳市,CHN026,岳阳华通汽车销售服务有限公司,岳阳市巴陵东路533号,0730-8828777,无限制,11月9日,单人,易玉成,
华南大区,湖南,株洲市,CHN024,株洲市华兴汽车销售服务有限公司,株洲市天元区体育中心北侧,0731-25887777,11月24日-11月27日,11月6日,单人,易玉成,
华南大区,广东,佛山市,SGD061,佛山市合自达汽车销售服务有限公司,广东省佛山市南海区桂城桂澜路石啃路段,0757-86367666,无限制,11月1日,单人,成玉平,
华南大区,广东,佛山市,SGD081,佛山市顺德区万事得汽车销售服务有限公司,佛山市顺德区大良街道办事处新滘居委会广珠公路新滘段西侧（原新滘大塘）,0757-22801198,无限制,11月1日,单人,成玉平,
华南大区,广东,佛山市,SGD075,佛山市中衡骏达汽车销售服务有限公司,佛山市南海区大沥镇太平路段祺兴汽车城内,0757-81182688,无限制,11月2日,AB合成,黎予雅,
华南大区,广东,佛山市,SGD089,佛山市广物驭达汽车销售服务有限公司,佛山市南海区里水镇佛山一环东侧水口路出口广佛汽车城内,0757-85660568,无限制,11月2日,单人,成玉平,
华南大区,广东,清远市,SGD093,清远市中衡骏达汽车销售服务有限公司,清远市清城区107国道边新城B28号区自编A09号铺,3630683,无限制,11月6日,单人,尹卫娟,
华南大区,广东,广州市,SGD040,广州博程汽车有限公司,广州市黄埔大道东903号天源大厦1-4层,020-82300600、020-82300601,无限制,11月1日,AB合成,黄超,
华南大区,广东,广州市,SGD043,广州成远汽车有限公司,广州市白云区石井街庆丰村石丰路南侧,020-86420080,无限制,11月1日,单人,尹卫娟,
华南大区,广东,广州市,SGD074,广东物通驭达汽车有限公司,广东省广州市番禺区番禺大道北75号（物通汽车城内）,020-66606519,无限制,11月2日,双人,尹卫娟,
华南大区,广东,广州市,SGD086,广州睿翼汽车有限公司,广州市海珠区新滘西路68号,020-86290608,无限制,11月2日,AB合成,尹卫娟,
华南大区,广东,中山市,SGD077,中山市中达汽车销售服务有限公司,中山市东区长江北路白沙湾工业园金基汽车城第九幢,0760-89882345,无限制,11月6日,单人,黎予雅,
华南大区,广东,湛江市,SGD087,湛江合达汽车销售服务有限公司,湛江市赤坎椹川大道北50号之一,0759-3208877,无限制,11月2日,单人,吴鹰翔,
华南大区,广东,东莞市,SGD035,东莞市久驰汽车贸易有限公司,东莞市东城区莞龙路上桥路段马自达车行,0769-22666866,无限制,11月10日,单人,王海庆,
华南大区,广东,东莞市,SGD069,东莞市新天地汽车销售服务有限公司,东莞市寮步镇国际汽车城,0769-835262660769-83526366,无限制,11月10日,单人,王海庆,
华南大区,广东,惠州市,SGD064,惠州市大华汽车销售有限公司,惠州市共联尖尾坑工业区南面（惠州火车西站对面）,0752-2372222,无限制,11月3日,多人,黄永成,
华南大区,广东,深圳市,SGD044,深圳市众深联汽车贸易有限公司,深圳市罗湖区延芳路东益汽车广场A8-A9,0755-251152880755-25116288,无限制,11月1日,双人,邬桥英,
华南大区,广东,深圳市,SGD034,深圳市安进机电设备有限公司,深圳市香蜜湖度假村内联合华鹏汽车交易广场A1,0755-837011220755-83052866,无限制,11月1日,双人,邬桥英,
华南大区,广东,深圳市,SGD073,深圳通利华龙岗汽车销售服务有限公司,深圳市龙岗区横岗深惠公路信义汽车城18号,0755-286849060755-286849160755-28684989,无限制,11月2日,双人,邬桥英,
华南大区,广东,珠海市,SGD045,珠海市钜荣汽车贸易有限公司,珠海市珠海大道屏东一路2号,0756-8818521,无限制,11月6日,单人,黎予雅,
华南大区,广东,深圳市,SGD090,深圳市通利华前海汽车销售服务有限公司,深圳市南山区南头街道宝安大道以北双界河以东嘉进隆前海汽车城A05-2,0755-26462828,无限制,11月2日,双人,邬桥英,
中西部大区,宁夏,银川市,XNX000,宁夏自立升汽车销售服务有限公司,银川德胜工业园区109道东,0951-7883666,无限制,11月1日,单人,李志雄,
中西部大区,新疆,乌鲁木齐市,XXJ006,新疆华达汽车销售服务有限责任公司,乌鲁木齐市永顺街1527号,0991-3664111,无限制,11月3日,单人,周亮,
中西部大区,四川,成都市,WSC017,四川中鹏汽车销售服务有限公司,成都市航空港开发区大荆路（成雅高速公路成都收费站旁）,028-85865666,无限制,11月3日,单人,周新理,
中西部大区,四川,成都市,WSC021,成都东成汽车销售服务有限公司,成都市锦江区锦江大道1188号（金港赛道附近）,028-84718888,无限制,11月3日,单人,莫光雄,
中西部大区,四川,成都市,WSC024,成都明友西物汽车贸易有限公司,成都市金牛区羊西线蜀西路163号,028-87507111,无限制,11月1日,多人,周新理,
中西部大区,四川,成都市,WSC028,四川城市车辆维修服务有限公司,成都市火车南站西路865号,028-85143668,无限制,11月3日,AB合成,莫光雄,
中西部大区,四川,达州市,WSC029,达州市天一航旗铭峻汽车销售有限公司,达州市经济开发区斌郎乡长田村五组,0818-3888885,无限制,11月8日,单人,温仕珍,
中西部大区,四川,德阳市,WSC025,德阳永信汽车销售服务有限公司,德阳市天山南路三段199号,0838-3179999,无限制,11月7日,单人,胡江,
中西部大区,四川,宜宾市,WSC030,宜宾一马汽车销售服务有限公司,宜宾市宜宾县城北新区向家坝工业园德福汽车城,0831-5513222,无限制,11月1日,双人,王平,
中西部大区,四川,绵阳市,WSC031,绵阳嘉成汽车销售服务有限公司,绵阳市经开区贾家店街119号,0816-8319999,无限制,11月6日,单人,胡江,
中西部大区,云南,昆明市,WYN019,云南善为汽车销售服务有限公司, 云南省昆明市高新区高新小屯汽车城13号地附3号地块,0871-68350189,11月17日-11月21日,11月16日,双人,叶舟,
中西部大区,云南,昆明,WYN020,云南正马汽车销售服务有限公司,云南省昆明市盘龙区东三环虹桥村加油站旁附1号,0871-63808777,11月17日-11月21日,11月16日,AB合成,陈莹,
中西部大区,重庆,重庆市,WCQ006,重庆万事兴汽车销售服务有限公司,重庆市北部新区迎宾大道（机场高速路十大队旁）,023-67639888,11月23日-11月26日,11月6日,单人,杨令,
中西部大区,重庆,重庆市,WCQ007,重庆银迅汽车销售服务有限公司,重庆市南岸区七公里（加油站旁）,023-62775288,11月23日-11月26日,11月6日,单人,杨令,
中西部大区,甘肃,兰州市,XGS007,兰州金岛骄马汽车销售有限公司,兰州市七里河区西津西路600号,0931-2553166,无限制,11月1日,单人,马斌,
中西部大区,贵州,贵阳市,WGZ007,贵州兴新田源烨汽车销售服务有限公司,贵州省贵阳市花溪区孟关乡国际汽贸城内,0851-83714008,11月09日-11月12日,11月14日,AB合成,陈莹,
中西部大区,贵州,贵阳市,WGZ004,贵州四扬日达汽车销售服务有限公司,贵阳市小河西南环线150号,0851-83840008,11月09日-11月12日,11月14日,双人,叶舟,
中西部大区,贵州,遵义市,WGZ005,遵义锦驰汽车有限公司,遵义市汇川区东联线航天工业园区88号,0852-8694418,无限制,11月15日,AB合成,叶舟,
中西部大区,青海,西宁市,XQH001,青海泰洲弘车辆销售有限公司,西宁市生物科技产业园区经二路北段6号,0971-7179999,无限制,11月7日,单人,马学平,
中西部大区,陕西,西安市,XSS012,陕西唐兴汽车销售服务有限公司,西安市幸福北路67号,029-82500108,无限制,11月2日,双人,王铭生,
中西部大区,陕西,西安市,XSS014,陕西欣达汽车贸易有限公司,西安市北二环西段路南(小白杨路与北二环十字西南角),"029-86366999
029-81613333",无限制,11月2日,单人,王铭生,
中西部大区,陕西,西安,XSS016,陕西润达汽车销售服务有限公司,陕西省西安市沣东新城三桥疏导线58号西部车城内4S店集群区014号,029-82378668,无限制,11月3日,单人,王铭生,
东北大区,黑龙江,大庆市,DHL025,大庆广利达汽车销售服务有限公司,大庆市经济技术开发区汽车园区一汽马自达M6专营店,0459-8103939,无限制,11月17日,单人,陈志强,
东北大区,黑龙江,哈尔滨市,DHL021,哈尔滨森华汽车销售服务有限公司,哈尔滨市道外区天恒大街5号,0451-82042111,11月21日-11月27日,11月16日,双人,陈志强,
东北大区,黑龙江,哈尔滨市,DHL022,哈尔滨乾丰汽车销售服务有限责任公司,哈尔滨市香坊区南直路65-1号,0451-55172233,11月21日-11月27日,11月16日,双人,陈志强,
东北大区,吉林,通化市,DJL080,通化冠喆汽车销售服务有限公司,通化市滨江东路,0435-5188555,无限制,11月8日,单人,陈志强,
东北大区,吉林,长春市,DJL057,吉林省华达汽车销售服务有限公司,长春市高新技术开发区硅谷大街3700号,0431-855387770431-85538111,11月02日-11月06日,11月7日,AB合成,朱彬源,
东北大区,吉林,长春市,DJL074,吉林省仁德汽车销售服务有限公司,长春市经济技术开发区福州街129号,0431-81917000,11月02日-11月06日,11月7日,双人,朱彬源,
东北大区,吉林,长春市,DJL069,吉林省国兴汽车服务有限公司,长春市汽贸城名车广场北侧,0431-858819990431-85881888,11月02日-11月06日,11月7日,双人,高贺楠,
东北大区,吉林,长春市,DJL077,长春久鼎汽车销售服务有限公司,净月高新技术产业开发区天普路488号,043181812777,11月02日-11月06日,11月13日,AB合成,朱彬源,
东北大区,吉林,吉林市,DJL072,吉林市神华马自达一汽轿车销售服务有限公司,吉林市高新区吉林大街32号,0432-646850000432-64642918,无限制,11月6日,单人,陈志强,
东北大区,吉林,四平市,DJL079,四平建达汽车销售服务有限公司,四平市铁东区开发区大路5777号,0434-5182999,无限制,11月13日,单人,朱彬源,
东北大区,吉林,松原市,DJL076,松原市征途路达汽车销售有限公司,松原市郭尔罗斯工业园区成吉思汗大街0008号,0438-5039999,无限制,11月2日,单人,陈志强,
东北大区,辽宁,鞍山市,DLN050,鞍山北方马自达汽车销售服务有限公司,鞍山市千山区西环路75号,0412-72866660412-73011660412-7302266,无限制,11月3日,多人,张晓旭,
东北大区,辽宁,大连市,DLN049,大连百利加汽车贸易有限公司,大连市甘井子区华北路北市汽车城B9栋,0411-86526333,无限制,11月10日,双人,张晓旭,
东北大区,辽宁,锦州市,DLN051,锦州新东方汽车销售服务有限公司,锦州市太和区新民乡大围子,0416-8056666,无限制,11月13日,单人,肖佰泉,
东北大区,辽宁,辽阳市,DLN057,辽阳合兴汽车销售服务有限公司,辽阳市太子河区小祈家村、繁荣大街北（繁荣大街A-2-4-1),3951111,无限制,11月3日,单人,肖佰泉,
东北大区,辽宁,盘锦市,DLN054,盘锦富田富达汽车销售服务有限公司,盘锦市兴隆台区赵家经济开发区热电厂南500米,0427-2239889,无限制,11月8日,单人,肖佰泉,
东北大区,辽宁,抚顺市,DLN058,抚顺广联达鸿翔汽车销售服务有限公司,抚顺市东洲区青年路（东段）17-2号,54567999,无限制,11月2日,双人,肖佰泉,
东北大区,辽宁,沈阳市,DLN052,沈阳中联汽车服务有限公司,沈阳市于洪区沈大路18号,024-25312599,无限制,11月6日,单人,张晓旭,
东北大区,辽宁,沈阳市,DLN046,辽宁福达汽车销售服务有限公司,沈阳市东陵区东陵路26号,024-88440668,无限制,11月6日,单人,张晓旭,
华北大区,山东,青州市,NSD091,青州长兴汽车贸易有限公司,青州市玲珑山北路2359号,0536-3930999,无限制,11月6日,多人,魏吉朋,
华北大区,山东,潍坊市,NSD073,潍坊天虹汽车销售服务有限公司,潍坊市奎文区潍州路十公里处,0536-88225050536-8822515,无限制,11月7日,多人,魏吉朋,
华北大区,山东,潍坊市,NSD089,潍坊庞大赫峰汽车销售服务有限公司,潍坊市坊子区潍州路十七公里东侧,0536-2281777,无限制,11月7日,多人,魏吉朋,
华北大区,山东,烟台市,NSD058,烟台大成金马汽车销售服务有限公司,烟台市芝罘区机场路168号,0535-6020016,无限制,11月8日,AB合成,魏吉朋,
华北大区,山东,青岛市,NSD095,青岛中联信汽车管理有限公司,青岛市浮山路15号,0532-87899777,无限制,11月9日,AB合成,魏吉朋,
华北大区,山东,德州市,NSD080,德州通达汽车销售服务有限公司,山东省德州市德城区新河路南侧、河东大街西侧,0534-2377666,无限制,11月1日,单人,魏吉朋,
华北大区,山东,济南市,NSD086,济南明盛汽车销售服务有限公司,济南市槐荫区经十路28438号,0531-87505199,无限制,11月3日,AB合成,魏吉朋,
华北大区,山东,济南市,NSD092,山东新骏汽车销售服务有限公司,济南市历下区工业南路60号,0531-88556888,无限制,11月3日,AB合成,魏吉朋,
华北大区,山东,济宁市,NSD094,济宁福乐途汽车贸易有限公司,济宁高新区济宁大道6号（济宁大道北，洸府河东）,0537-3169888,无限制,11月13日,多人,郭阳,
华北大区,山东,聊城市,NSD079,聊城金源汽车销售服务有限公司,聊城市光岳路与湖南路交叉口向南500米路西,0635-6988888,无限制,11月2日,单人,魏吉朋,
华北大区,山东,临沂市,NSD074,临沂骏骐汽车贸易有限公司,临沂市罗庄区双月湖街道沂河路西段北侧,0539-8019980,无限制,11月13日,多人,李峰,
华北大区,山东,淄博市,NSD065,山东鸿达汽车发展有限公司,淄博市张店区中心路176-6号,0533-6286666,无限制,11月6日,双人,魏吉朋,
华东二区,浙江,台州市,EZJ061,台州市黄岩天诚汽车有限公司,台州市黄岩二环西路复线东侧,0576-84647777,无限制,11月9日,单人,张磊,
华东二区,浙江,台州市,EZJ064,台州运通博阳汽车销售服务有限公司,台州市路桥区新安南街189号,0576-82753333,无限制,11月9日,单人,张磊,
华东二区,浙江,温州市,EZJ039,温州华腾汽车销售服务有限公司,温州市瑞安塘下镇上金104国道边(塘梅路口对面),0577-65392333,11月01日-11月05日,11月10日,单人,张磊,
华东二区,浙江,杭州市,EZJ038,浙江康桥宏马汽车有限公司,杭州市艮山东路339号,0571-86015888,无限制,11月7日,双人,张磊,
华东二区,浙江,杭州市,EZJ053,浙江元通瑞达汽车有限公司,杭州市拱墅区石祥路528号,0571-88171777,无限制,11月6日,双人,李峰,
华东二区,浙江,温州市,EZJ021,温州将军汽车销售服务有限公司,温州市过境路1643号,0577-88531777,11月01日-11月05日,11月10日,单人,张琪,
华东二区,浙江,杭州市,EZJ058,杭州骏马汽车销售服务有限公司,杭州市拱墅区石祥路273号,0571-88017111,无限制,11月6日,双人,李峰,
华东二区,浙江,杭州市,EZJ071,杭州睿马汽车有限公司,杭州市滨江区西兴路5-58号,0571-81603333,无限制,11月7日,双人,张琪,
华东二区,浙江,杭州市,EZJ072,杭州爱马汽车有限公司,杭州市拱墅区大关路291号,0571-88231555,无限制,11月7日,双人,李峰,
华东二区,浙江,杭州市,EZJ074,杭州森悦一达汽车有限公司,杭州市余杭区星桥街道星桥北路72号,0571-86263111,无限制,11月6日,双人,张琪,
华东二区,浙江,宁波市,EZJ089,宁波鑫通达汽车销售服务有限公司,宁波市鄞州区潘火街道柴家村,0574-28875666,无限制,11月8日,单人,张琪,
华东二区,浙江,海宁市,EZJ073,海宁市禾通汽车销售服务有限公司,浙江省海宁市文苑路479号汽车商贸园品牌区,0573-80703666,无限制,11月3日,AB合成,李峰,
华东二区,浙江,嘉兴市,EZJ049,嘉兴市禾通汽车销售服务有限公司,嘉兴市广益路1338号汽车商贸园,0573-83918666,无限制,11月3日,双人,张琪,
华东二区,浙江,桐乡市,EZJ081,桐乡市禾通汽车销售服务有限公司,桐乡市梧桐街道振东新区中华东路810-822号,0573-88950666,无限制,11月3日,AB合成,李峰,
华东二区,浙江,宁波市,EZJ079,宁波万事得汽车有限公司,宁波市镇海区庄市街道明海大道南段222号,0574-87480777,无限制,11月8日,单人,张琪,
华东二区,浙江,金华市,EZJ060,金华金宇汽车贸易有限公司,金华市仙桥金华汽车城,0579-82081818,无限制,11月10日,单人,李长金,
华东二区,浙江,义乌市,EZJ050,义乌市龙马汽车销售有限公司,义乌市经发大道452号,0579-85332388,11月16日-11月19日,11月10日,单人,李长金,
华东二区,浙江,绍兴市,EZJ068,绍兴骏捷汽车有限公司,绍兴市104国道北复线官渎桥正大装饰商城对面,0575-88005666,无限制,11月8日,单人,李长金,
华东二区,浙江,绍兴市,EZJ069,绍兴瑞达汽车有限公司,绍兴市袍江康宁东路17号,0575-88159966,无限制,11月8日,单人,李长金,
华东二区,浙江,绍兴市,EZJ087,绍兴诸暨爱马汽车有限公司,诸暨市陶朱街道王家湖路38号,0575－88072111,无限制,11月9日,单人,李长金,
华东二区,浙江,富阳区,EZJ084,杭州富阳万达汽车贸易有限公司,杭州富阳银湖街道迎宾北路377号,057161795666,无限制,11月9日,单人,郭阳,
华东二区,浙江,杭州市,EZJ057,浙江孚达汽车有限公司,杭州市萧山区新城路988号,0571-82786666,无限制,11月9日,单人,郭阳,
华东二区,浙江,湖州市,EZJ063,湖州康宏汽车有限公司,湖州市创业大道100号,0572-2121333,无限制,11月10日,单人,郭阳,
华东二区,浙江,苍南县,EZJ083,苍南县荣睿汽车销售服务有限公司,苍南县灵溪镇环城路与春晖路交叉口（C区）,0577-55581888,无限制,11月1日,单人,郭书义,
华东二区,浙江,临海市,EZJ076,临海市驭马汽车销售服务有限公司,临海市靖江南路76号,0576-85395555,无限制,11月3日,单人,郭书义,
华东二区,浙江,温岭市,EZJ090,台州市驭达汽车有限公司,浙江省温岭市九龙大道与万昌北路交叉口向西200米,0576-86051222,无限制,11月2日,单人,郭书义,
华东二区,浙江,慈溪市,EZJ052,慈溪市新亚汽车销售服务有限公司,慈溪市浒山街道慈百路眉山村眉山路一号,0574-63801111,无限制,11月8日,单人,郭书义,
华东二区,浙江,宁波市,EZJ088,宁波合辰汽车销售服务有限公司,宁波市北仑区小港车安路11号（滨江汽车城内）,0574-86162777,无限制,11月7日,单人,郭书义,
华东二区,浙江,宁波市,EZJ036,宁波鑫之杰汽车有限公司,宁波市海曙区南苑街301号,0574-874697770574-87481555,无限制,11月7日,单人,郭书义,
华东二区,浙江,宁海县,EZJ070,宁波宏亚汽车销售服务有限公司,浙江省宁海县高速公路出口湖二路（往象山方向200米）,0574-83552222,11月10日-11月12日,11月3日,单人,郭书义,
华东二区,浙江,舟山市,EZJ082,舟山明桥汽车销售服务有限公司,舟山市定海区双桥镇石礁社区外山头村（舟山汽车城8号A区）,0580-8620666,无限制,11月6日,单人,郭书义,
华东一区,上海,上海市,ESH042,上海绿地东汽车销售有限公司,上海市闸北区康宁路930号,021-50868666,无限制,11月1日,AB合成,李长金,
华东一区,上海,上海市,ESH047,上海通锐汽车销售服务有限公司,上海市闵行区中春路6800号,021-54880333,无限制,11月2日,双人,李长金,
华东一区,上海,上海市,ESH050,上海交运隆嘉汽车销售服务有限公司,上海中山北路558号,021-66285888,无限制,11月1日,双人,张琪,
华东一区,上海,上海市,ESH052,上海绿地杨浦汽车销售服务有限公司,上海市杨浦区周家嘴路3388号,021-51807898,无限制,11月1日,双人,张琪,
华东一区,上海,上海市,ESH046,上海景和金沙汽车销售有限公司,上海市普陀区祁连山南路588弄1号,021-52693666,无限制,11月2日,双人,李长金,
华东二区,安徽,安庆市,EAH037,安庆宜马汽车销售服务有限公司,安庆市 石塘湖路,0556-5272666,无限制,11月8日,单人,汪子鸿,
华东二区,安徽,蚌埠市,EAH035,蚌埠市臣功汽车销售服务有限公司,安徽省蚌埠市怀远县经济开发区禹都大道2号,0552-8655555,无限制,11月9日,单人,杨诚锐,
华东二区,安徽,阜阳市,EAH030,阜阳赛达汽车销售服务有限公司,阜阳开发区汽贸物流园105国道南经七路东侧,0558-2200999,无限制,11月8日,单人,杨诚锐,
华东二区,安徽,合肥市,EAH028,安徽亚达汽车销售服务有限公司,合肥市高新区环湖东路19号,"0551-65320070
0551-65311155
0551-65311133",无限制,11月7日,双人,汪子鸿,
华东二区,安徽,合肥市,EAH029,安徽伟新行汽车销售服务有限公司,合肥市包河区纬二路10号,0551-63686888,无限制,11月7日,双人,杨诚锐,
华东二区,安徽,六安市,EAH031,六安市泰源汽车销售服务有限公司,六安市裕安区城南镇三中心,0564-3717666,无限制,11月6日,AB合成,杨诚锐,
